model,size,subtask,accuracy,n_passed,n_total,ft_steps
d24-byte-l-early,30000,spell,0.710000,71,100,46
d24-byte-l-early,30000,spell_inverse,0.030000,3,100,46
d24-byte-l-early,30000,contains_char,0.520000,52,100,46
d24-byte-l-early,30000,orth,0.620000,62,100,46
d24-byte-l-early,30000,ins_char,0.000000,0,100,46
d24-byte-l-early,30000,del_char,0.000000,0,100,46
d24-byte-l-early,30000,sub_char,0.070000,7,100,46
d24-byte-l-early,30000,swap_char,0.000000,0,100,46
d24-byte-l,30000,spell,0.810000,81,100,46
d24-byte-l,30000,spell_inverse,0.810000,81,100,46
d24-byte-l,30000,contains_char,0.520000,52,100,46
d24-byte-l,30000,orth,0.710000,71,100,46
d24-byte-l,30000,ins_char,0.000000,0,100,46
d24-byte-l,30000,del_char,0.010000,1,100,46
d24-byte-l,30000,sub_char,0.060000,6,100,46
d24-byte-l,30000,swap_char,0.000000,0,100,46
d24-byte-l-ext,30000,spell,0.980000,98,100,46
d24-byte-l-ext,30000,spell_inverse,0.980000,98,100,46
d24-byte-l-ext,30000,contains_char,0.540000,54,100,46
d24-byte-l-ext,30000,orth,0.730000,73,100,46
d24-byte-l-ext,30000,ins_char,0.140000,14,100,46
d24-byte-l-ext,30000,del_char,0.240000,24,100,46
d24-byte-l-ext,30000,sub_char,0.390000,39,100,46
d24-byte-l-ext,30000,swap_char,0.230000,23,100,46
d24-byte-l-early,10000,spell,0.000000,0,100,16
d24-byte-l-early,10000,spell_inverse,0.380000,38,100,16
d24-byte-l-early,10000,contains_char,0.000000,0,100,16
d24-byte-l-early,10000,orth,0.560000,56,100,16
d24-byte-l-early,10000,ins_char,0.000000,0,100,16
d24-byte-l-early,10000,del_char,0.000000,0,100,16
d24-byte-l-early,10000,sub_char,0.020000,2,100,16
d24-byte-l-early,10000,swap_char,0.000000,0,100,16
d24,30000,spell,0.000000,0,100,12
d24,30000,spell_inverse,0.000000,0,100,12
d24,30000,contains_char,0.070000,7,100,12
d24,30000,orth,0.440000,44,100,12
d24,30000,ins_char,0.000000,0,100,12
d24,30000,del_char,0.000000,0,100,12
d24,30000,sub_char,0.010000,1,100,12
d24,30000,swap_char,0.000000,0,100,12
d24-byte-l-early,100000,spell,1.000000,100,100,154
d24-byte-l-early,100000,spell_inverse,1.000000,100,100,154
d24-byte-l-early,100000,contains_char,0.570000,57,100,154
d24-byte-l-early,100000,orth,0.710000,71,100,154
d24-byte-l-early,100000,ins_char,0.930000,93,100,154
d24-byte-l-early,100000,del_char,0.910000,91,100,154
d24-byte-l-early,100000,sub_char,0.910000,91,100,154
d24-byte-l-early,100000,swap_char,0.690000,69,100,154
d24,100000,spell,0.050000,5,100,40
d24,100000,spell_inverse,0.000000,0,100,40
d24,100000,contains_char,0.660000,66,100,40
d24,100000,orth,0.540000,54,100,40
d24,100000,ins_char,0.100000,10,100,40
d24,100000,del_char,0.000000,0,100,40
d24,100000,sub_char,0.020000,2,100,40
d24,100000,swap_char,0.000000,0,100,40
d24-byte-l,100000,spell,1.000000,100,100,154
d24-byte-l,100000,spell_inverse,1.000000,100,100,154
d24-byte-l,100000,contains_char,0.580000,58,100,154
d24-byte-l,100000,orth,0.660000,66,100,154
d24-byte-l,100000,ins_char,0.970000,97,100,154
d24-byte-l,100000,del_char,0.950000,95,100,154
d24-byte-l,100000,sub_char,0.990000,99,100,154
d24-byte-l,100000,swap_char,0.910000,91,100,154
d24-byte-l-ext,100000,spell,0.990000,99,100,154
d24-byte-l-ext,100000,spell_inverse,0.990000,99,100,154
d24-byte-l-ext,100000,contains_char,0.520000,52,100,154
d24-byte-l-ext,100000,orth,0.700000,70,100,154
d24-byte-l-ext,100000,ins_char,0.990000,99,100,154
d24-byte-l-ext,100000,del_char,0.990000,99,100,154
d24-byte-l-ext,100000,sub_char,0.980000,98,100,154
d24-byte-l-ext,100000,swap_char,0.980000,98,100,154
